Issue Type,Issue Key,Summary,Epic Link,Priority,Story Points,Labels,Description
Epic,RCM-100,AI Claim Intelligence,,Highest,,ai-claims,"Denial risk scoring and pre-submission scrubbing"
Story,RCM-101,Display Denial Risk Score and contributing factors,RCM-100,Highest,8,ai-claims,"As a Biller I want to see Denial Risk Score..."
Story,RCM-102,Configure risk thresholds for auto-submit vs review,RCM-100,High,5,ai-claims,"As Supervisor I want to set thresholds..."
Story,RCM-103,Capture accept/modify/reject feedback on AI suggestions,RCM-100,Highest,5,ai-claims,"As a Biller I want to provide feedback..."
Epic,RCM-200,Intelligent Coding Assistance,,Highest,,ai-coding,"ICD-10 / CPT suggestion engine"
Story,RCM-201,Show AI code suggestions with confidence and rationale,RCM-200,Highest,8,ai-coding,"As a Coder I want AI code suggestions..."
Story,RCM-202,Require explicit coder confirmation of AI suggestions,RCM-200,Highest,3,ai-coding,"Ensure human final authority"
Epic,RCM-300,Denial Intelligence & Smart Workqueues,,Highest,,ai-denials,workqueue,"Classification, overturn prediction, prioritization"
Story,RCM-301,Auto-classify denials and predict overturn probability,RCM-300,Highest,8,ai-denials,"As Denial Specialist I want classification..."
Story,RCM-302,AI-prioritized AR and Denial workqueues,RCM-300,Highest,5,workqueue,"As Specialist I want ranked workqueue..."
Epic,RCM-400,Analytics, Governance & Integration,,High,,dashboard,api,governance
Story,RCM-401,RCM AI Performance Dashboard,RCM-400,High,8,dashboard,"Clean claim, denial rate, AI adoption KPIs"
Story,RCM-402,Audit trail for AI decisions and overrides,RCM-400,Highest,5,governance,"Compliance visibility"
Story,RCM-403,EHR / PM system API integration,RCM-400,Highest,13,api,"Bi-directional claim data exchange"
Story,RCM-404,Clearinghouse integration for status and submission,RCM-400,Highest,8,api,"Claim lifecycle status"
Task,RCM-501,Historical claims and denial data preparation,,Highest,8,data,"Clean and label training data"
Task,RCM-502,Define model performance acceptance criteria,,High,3,ml,"Precision, Recall, F1 targets"
Task,RCM-503,Bias and fairness monitoring setup,,High,5,governance,"Monitor across key segments"
