Date,Claims_Submitted,Clean_Claims_First_Pass,Clean_Claim_Rate_Pct,Denials_Received,Denial_Rate_Pct,Avg_Days_in_AR,AI_Recommendations_Shown,AI_Accepted_or_Modified,AI_Acceptance_Rate_Pct,Manual_Touches_Avg,Overturn_Rate_Pct
2025-08-01,1250,912,72.96,248,19.84,51.2,1180,720,61.02,2.8,47.5
2025-08-02,1310,965,73.66,255,19.47,50.8,1240,765,61.69,2.7,48.1
2025-08-03,1285,978,76.11,231,17.98,49.5,1220,810,66.39,2.5,51.2
2025-08-04,1198,925,77.21,210,17.53,48.9,1140,780,68.42,2.4,52.8
2025-08-05,1345,1065,79.18,215,15.99,47.6,1280,910,71.09,2.2,55.4
2025-08-06,980,785,80.10,152,15.51,47.1,930,680,73.12,2.1,56.1
2025-08-07,890,720,80.90,135,15.17,46.8,850,630,74.12,2.0,57.0
2025-08-08,1320,1085,82.20,198,15.00,45.9,1260,945,75.00,1.9,58.3
2025-08-09,1295,1080,83.40,185,14.29,45.2,1235,950,76.92,1.8,59.5
2025-08-10,1370,1165,85.04,175,12.77,44.1,1310,1030,78.63,1.7,61.2
2025-08-11,1240,1070,86.29,155,12.50,43.5,1185,960,81.01,1.6,62.8
2025-08-12,1410,1235,87.59,160,11.35,42.8,1350,1120,82.96,1.5,64.1
2025-08-13,1050,930,88.57,110,10.48,42.1,1005,850,84.58,1.4,65.0
2025-08-14,920,820,89.13,95,10.33,41.8,880,750,85.23,1.4,65.5
2025-08-15,1385,1250,90.25,130,9.39,40.9,1330,1145,86.09,1.3,66.8
