Date,ED_Arrivals,ED_Avg_Wait_Min,ED_LOS_Hours,LWBS_Count,LWBS_Rate_Pct,Inpatient_Occupancy_Pct,ALOS_Days,Bed_Turnaround_Hours,Admissions,Discharges,Days_in_AR,Clean_Claim_Rate_Pct,Denial_Rate_Pct,Readmission_Rate_Pct,Nursing_HPPD
2025-08-01,185,42,4.8,12,6.49,88.5,4.2,3.1,95,92,48.5,78.2,16.8,11.2,5.8
2025-08-02,192,45,5.1,14,7.29,89.2,4.3,3.4,98,90,48.2,79.1,16.2,11.0,5.7
2025-08-03,178,38,4.5,9,5.06,87.8,4.1,2.9,91,94,47.9,80.5,15.5,10.8,5.9
2025-08-04,201,51,5.4,18,8.96,91.0,4.4,3.6,102,88,47.5,81.2,15.1,10.9,5.6
2025-08-05,188,40,4.7,11,5.85,88.0,4.2,3.0,96,97,47.1,82.0,14.8,10.7,5.8
2025-08-06,165,35,4.2,7,4.24,85.5,4.0,2.7,82,89,46.8,82.8,14.3,10.5,6.0
2025-08-07,158,33,4.0,6,3.80,84.2,3.9,2.5,78,85,46.5,83.5,13.9,10.4,6.1
2025-08-08,195,43,4.9,13,6.67,89.5,4.3,3.2,99,93,46.0,84.1,13.5,10.6,5.7
2025-08-09,183,39,4.6,10,5.46,88.1,4.2,2.8,94,96,45.6,84.8,13.2,10.3,5.8
2025-08-10,210,48,5.2,16,7.62,90.8,4.5,3.5,105,91,45.2,85.5,12.8,10.5,5.5
2025-08-11,190,41,4.7,11,5.79,88.7,4.2,3.0,97,98,44.8,86.0,12.5,10.2,5.8
2025-08-12,205,46,5.0,15,7.32,91.5,4.4,3.3,108,95,44.3,86.7,12.1,10.4,5.6
2025-08-13,170,34,4.1,6,3.53,86.0,4.0,2.6,85,92,43.9,87.2,11.8,10.1,5.9
2025-08-14,162,32,3.9,5,3.09,84.8,3.9,2.4,80,88,43.5,87.8,11.5,10.0,6.0
2025-08-15,198,40,4.6,10,5.05,89.0,4.2,2.9,100,99,43.0,88.5,11.0,10.2,5.7
