Issue Type,Issue Key,Summary,Epic Link,Priority,Story Points,Labels,Description
Epic,CTMS-100,Study & Protocol Setup,,Highest,,study,"Study creation and protocol visit schedule"
Story,CTMS-101,Create study and define core attributes,CTMS-100,Highest,5,study,"As Study Manager I want to create a study..."
Story,CTMS-102,Define protocol visit schedule with windows,CTMS-100,Highest,5,study,"As Study Manager I want to define visit schedule..."
Epic,CTMS-200,Site Management,,Highest,,site,"Feasibility, documents, activation"
Story,CTMS-201,Structured site feasibility questionnaire,CTMS-200,Highest,8,site,"As Study Manager I want structured feasibility..."
Story,CTMS-202,Essential document checklist and tracking,CTMS-200,Highest,5,site,"Track document status per site-study"
Story,CTMS-203,Controlled site activation workflow,CTMS-200,Highest,5,site,"Formal activation with audit trail"
Epic,CTMS-300,Subject Lifecycle,,Highest,,subject,"Screening, consent, enrollment"
Story,CTMS-301,Log screening and capture outcomes,CTMS-300,Highest,5,subject,"As Site Coordinator I want to log screening..."
Story,CTMS-302,Record informed consent details,CTMS-300,Highest,5,subject,"Capture consent version, date, personnel"
Story,CTMS-303,Enroll subject and auto-generate visit plan,CTMS-300,Highest,5,subject,"Enrollment triggers visit plan creation"
Epic,CTMS-400,Visit Tracking & Compliance,,Highest,,visit,"Scheduling, windows, monitoring"
Story,CTMS-401,Schedule and record subject visits,CTMS-400,Highest,5,visit,"As Site Coordinator I want to record visits..."
Story,CTMS-402,Visit window calculation and flagging,CTMS-400,Highest,5,visit,"Flag approaching or out-of-window visits"
Epic,CTMS-500,Dashboards, Reporting & Audit,,High,,reporting,audit
Story,CTMS-501,Operational dashboards for enrollment and sites,CTMS-500,High,8,reporting,"Enrollment, site status, visit compliance views"
Story,CTMS-502,Searchable audit trail with export,CTMS-500,Highest,5,audit,"Support inspections and internal audits"
Task,CTMS-601,Define controlled terminology (statuses, reasons),,High,3,config,"Standard lists for consistency"
Task,CTMS-602,Role-permission matrix configuration,,Highest,5,security,"Map roles to functions"
Task,CTMS-603,Validation documentation support,,High,5,compliance,"Traceability and test evidence support"
