Issue Type,Issue Key,Summary,Epic Link,Priority,Story Points,Status,Labels,Description
Epic,HMS-100,Patient Registration & MPI,,Highest,,To Do,registration,"Master Patient Index and registration workflows"
Story,HMS-101,Search existing patient with multiple criteria,HMS-100,Highest,5,To Do,registration,"As a Registration Clerk I want to search..."
Story,HMS-102,Duplicate detection and warning,HMS-100,Highest,8,To Do,registration,"As a Registration Clerk I want the system to warn about potential duplicates..."
Story,HMS-103,New patient registration with validation,HMS-100,Highest,8,To Do,registration,"As a Registration Clerk I want to register a new patient..."
Story,HMS-104,Quick check-in for returning patients,HMS-100,High,5,To Do,registration,"As a Registration Clerk I want to quickly check-in returning patients..."
Epic,HMS-200,Appointment Scheduling,,Highest,,To Do,appointments,"Real-time scheduling and reminders"
Story,HMS-201,Real-time doctor availability calendar,HMS-200,Highest,8,To Do,appointments,"As an Appointment Coordinator I want to view real-time availability..."
Story,HMS-202,Book appointment against available slot,HMS-200,Highest,5,To Do,appointments,"As an Appointment Coordinator I want to book an appointment..."
Story,HMS-203,Reschedule or cancel appointment with reason,HMS-200,High,5,To Do,appointments,"As an Appointment Coordinator I want to reschedule or cancel..."
Story,HMS-204,Automated appointment reminders (SMS/Email),HMS-200,Highest,5,To Do,appointments,"As Operations Manager I want automated reminders..."
Epic,HMS-300,Billing & Payments,,Highest,,To Do,billing,"Charge capture, invoicing and payments"
Story,HMS-301,Auto-suggest consultation charges,HMS-300,Highest,5,To Do,billing,"As a Billing Executive I want charges auto-suggested..."
Story,HMS-302,Generate itemized invoice and collect payment,HMS-300,Highest,8,To Do,billing,"As a Billing Executive I want to generate invoice and record payment..."
Story,HMS-303,Apply authorized discounts with audit,HMS-300,Medium,3,To Do,billing,"As a Billing Supervisor I want controlled discounts..."
Epic,HMS-400,Cross-Cutting Capabilities,,High,,To Do,security,dashboard,"Access control, audit, dashboards"
Story,HMS-401,Role-based access control setup,HMS-400,Highest,5,To Do,security,"As System Admin I want to manage roles and permissions..."
Story,HMS-402,Real-time operational dashboard,HMS-400,High,8,To Do,dashboard,"As Hospital Administrator I want real-time KPIs..."
Task,HMS-501,Define and load Price Master,,High,3,To Do,config,"Configure consultation and service prices"
Task,HMS-502,Configure doctor schedules and specialties,,High,5,To Do,config,"Set up initial doctor calendars"
Task,HMS-503,Set up SMS/Email notification gateway,,High,5,To Do,integration,"Integrate notification service"
Task,HMS-504,Data migration and cleansing rules,,Highest,8,To Do,data,"Clean existing patient data and define migration"
