Date,Registrations,New_Patients,Returning_Patients,Avg_Reg_Time_Minutes,Appointments_Booked,Appointments_Completed,No_Shows,Cancellations,No_Show_Rate_Pct,Utilization_Pct,Total_Collection_INR,Cash_Collection,Card_UPI_Collection,Insurance_Marked
2025-08-01,412,148,264,4.2,385,312,48,25,12.5,81.2,1850000,720000,980000,150000
2025-08-02,398,135,263,3.9,372,305,42,25,11.3,79.8,1725000,690000,910000,125000
2025-08-03,425,152,273,3.7,401,338,39,24,9.7,83.5,1980000,780000,1050000,150000
2025-08-04,389,129,260,3.5,365,298,45,22,12.3,78.9,1680000,650000,890000,140000
2025-08-05,441,161,280,3.4,415,352,38,25,9.2,84.1,2050000,810000,1090000,150000
2025-08-06,356,118,238,3.8,298,251,28,19,9.4,76.5,1420000,580000,720000,120000
2025-08-07,318,105,213,4.1,265,221,25,19,9.4,74.2,1250000,510000,640000,100000
2025-08-08,435,155,280,3.3,408,345,41,22,10.0,83.8,2010000,790000,1070000,150000
2025-08-09,402,142,260,3.2,378,319,37,22,9.8,80.5,1790000,710000,940000,140000
2025-08-10,418,149,269,3.1,392,331,36,25,9.2,82.1,1920000,760000,1010000,150000
2025-08-11,391,133,258,3.0,361,305,34,22,9.4,79.3,1710000,680000,900000,130000
2025-08-12,448,163,285,2.9,422,358,39,25,9.2,85.0,2110000,830000,1130000,150000
2025-08-13,362,121,241,3.4,305,258,27,20,8.9,77.8,1480000,600000,750000,130000
2025-08-14,325,108,217,3.6,272,229,24,19,8.8,75.1,1290000,520000,660000,110000
2025-08-15,429,154,275,2.8,405,343,38,24,9.4,83.2,1970000,780000,1040000,150000
